name,Z,row,group,atomic_radius_calculated,mendeleev_no,electrical_resistivity,reflectivity,refractive_index,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,mineral_hardness,vickers_hardness,density_of_solid,coefficient_of_linear_thermal_expansion,ionization_energies,atomic_mass,atomic_radius,average_anionic_radius,average_cationic_radius,average_ionic_radius,electron_affinity
H,1.0,1.0,1.0,0.53,103.0,,,1.000132,,11.42,0.1805,20.28,14.01,33.0,,6.27,,,,,,,,,13.598434599702,1.00794,0.25,0.0,0.0,0.0,0.754598
He,2.0,1.0,18.0,0.31,1.0,,,1.000035,,21.0,0.1513,4.22,0.95,5.19,,3.27,,,,,,,,,24.587389011,4.002602,,0.0,0.0,0.0,-0.52
Li,3.0,2.0,1.0,1.67,12.0,9.5e-08,,,,13.02,85.0,1615.0,453.69,3223.0,,1161.31,11.0,4.9,,4.2,0.6,,535.0,4.6e-05,5.391714996,6.941,1.45,0.0,0.9,0.9,0.61804922
Be,4.0,2.0,2.0,1.12,77.0,3.8e-08,,,0.032,4.85,190.0,2742.0,1560.0,,0.026,1182.0,130.0,287.0,600.0,132.0,5.5,1670.0,1848.0,1.13e-05,9.322699,9.012182,1.05,0.0,0.59,0.59,-0.52
B,5.0,2.0,13.0,0.87,86.0,1000000000000.0,,,,4.39,27.0,4200.0,2349.0,,,1851.0,320.0,,,,9.3,49000.0,2460.0,6e-06,8.298019,10.811,0.85,0.0,0.41,0.41,0.27972325
C,6.0,2.0,14.0,0.67,95.0,1e-05,27.0,2.417,,5.29,140.0,4300.0,3800.0,,,500.0,33.0,,,,0.5,,2267.0,7.1e-06,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612
N,7.0,2.0,15.0,0.56,100.0,,,1.000298,,13.54,0.02583,77.36,63.05,126.2,,14.31,,,,,,,,,14.53413,14.0067,0.65,1.32,0.28500000000000003,0.63,-0.07
O,8.0,2.0,16.0,0.48,101.0,,,1.000271,,17.36,0.02658,90.2,54.8,154.6,,35.4,,,,,,,,,13.618055,15.9994,0.6,1.26,0.0,1.26,1.4611053
F,9.0,2.0,17.0,0.42,102.0,,,1.000195,,11.2,0.0277,85.03,53.53,144.0,,31.5,,,,,,,,,17.42282,18.9984032,0.5,1.19,0.22,0.705,3.401189824
Ne,10.0,2.0,18.0,0.38,2.0,,,1.000067,,13.23,0.0491,27.07,24.56,44.4,,2.51,,,,,,,,,21.564541,20.1797,,0.0,0.0,0.0,-1.22
Na,11.0,3.0,1.0,1.9,11.0,4.9e-08,,,,23.78,140.0,1156.0,370.87,2573.0,,785.13,6.3,10.0,0.69,3.3,0.5,,968.0,7.1e-05,5.13907696,22.98976928,1.8,0.0,1.16,1.16,0.54792625
Mg,12.0,3.0,2.0,1.45,73.0,4.4e-08,74.0,,0.29,14.0,160.0,1363.0,923.0,,,440.0,45.0,45.0,260.0,17.0,2.5,,1738.0,8.2e-06,7.646236,24.305,1.5,0.0,0.86,0.86,-0.42
Al,13.0,3.0,13.0,1.18,80.0,2.7e-08,71.0,,0.35,10.0,235.0,2792.0,933.47,,1.175,1858.53,76.0,70.0,245.0,26.0,2.75,167.0,2700.0,2.31e-05,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835
Si,14.0,3.0,14.0,1.11,85.0,0.001,28.0,,,12.06,150.0,3173.0,1687.0,,,1486.0,100.0,47.0,,,6.5,,2330.0,2.6e-06,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128
P,15.0,3.0,15.0,0.98,90.0,1e-07,,1.001212,,17.02,0.236,550.0,317.3,994.0,,232.7,11.0,,,,,,1823.0,,10.486686,30.973762,1.0,0.0,0.55,0.55,0.7466071
S,16.0,3.0,16.0,0.88,94.0,1e+23,,1.001111,,15.53,0.205,717.87,388.36,1314.0,,329.51,7.7,,,,2.0,,1960.0,,10.36001,32.065,1.0,1.7,0.47,0.88,2.077104512
Cl,17.0,3.0,17.0,0.79,99.0,10000000000.0,,1.000773,,17.39,0.0089,239.11,171.6,417.0,,67.51,1.1,,,,,,,,12.967633,35.453,1.0,1.67,0.33499999999999996,0.7799999999999999,3.61272528
Ar,18.0,3.0,18.0,0.71,3.0,,,1.000281,,22.56,0.01772,87.3,83.8,150.8,,3.5,,,,,,,,,15.7596119,39.948,0.71,0.0,0.0,0.0,-1.02
K,19.0,4.0,1.0,2.43,10.0,7.5e-08,,,,45.94,100.0,1032.0,336.53,2223.0,,695.47,3.1,,0.363,1.3,0.4,,856.0,,4.34066373,39.0983,2.2,0.0,1.52,1.52,0.50145913
Ca,20.0,4.0,2.0,1.94,16.0,3.4e-08,,,0.31,26.2,200.0,1757.0,1115.0,,,642.0,17.0,20.0,167.0,7.4,1.75,,1550.0,2.23e-05,6.11315547,40.078,1.8,0.0,1.14,1.14,0.024551
Sc,21.0,4.0,3.0,1.84,19.0,5.5e-07,,,0.28,15.0,16.0,3103.0,1814.0,,0.05,1289.0,57.0,74.0,750.0,29.0,,,2985.0,1.02e-05,6.56149,44.955912,1.6,0.0,0.885,0.885,0.1882
Ti,22.0,4.0,4.0,1.76,51.0,4e-07,,,0.32,10.64,22.0,3560.0,1941.0,,0.4,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545
V,23.0,4.0,5.0,1.71,54.0,2e-07,61.0,,0.37,8.32,31.0,3680.0,2183.0,,5.4,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662
Cr,24.0,4.0,6.0,1.66,57.0,1.27e-07,,,0.21,7.23,94.0,2944.0,2180.0,,,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412
Mn,25.0,4.0,7.0,1.61,60.0,1.44e-06,,,,7.35,7.8,2334.0,1519.0,,,815.0,120.0,198.0,196.0,,6.0,,7470.0,2.17e-05,7.434038,54.938045,1.4,0.0,0.6483333333333333,0.6483333333333333,-0.52
Fe,26.0,4.0,8.0,1.56,61.0,1e-07,65.0,,0.29,7.09,80.0,3134.0,1811.0,,,1323.0,170.0,211.0,490.0,82.0,4.0,608.0,7874.0,1.18e-05,7.9024681,55.845,1.4,0.0,0.8525,0.8525,0.15323634
Co,27.0,4.0,9.0,1.52,64.0,6e-08,67.0,,0.31,6.67,100.0,3200.0,1768.0,,,1432.0,180.0,209.0,700.0,75.0,5.0,1043.0,8900.0,1.3e-05,7.88101,58.933195,1.35,0.0,0.7683333333333334,0.7683333333333334,0.662265
Ni,28.0,4.0,10.0,1.49,67.0,7.2e-08,72.0,,0.31,6.59,91.0,3186.0,1728.0,,,1458.0,180.0,200.0,700.0,76.0,4.0,638.0,8908.0,1.34e-05,7.639878,58.6934,1.35,0.0,0.74,0.74,1.1571612
Cu,29.0,4.0,11.0,1.45,72.0,1.72e-08,90.0,,0.34,7.11,400.0,3200.0,1357.77,,,1842.23,140.0,130.0,874.0,48.0,3.0,369.0,8920.0,1.65e-05,7.72638,63.546,1.35,0.0,0.82,0.82,1.235784
Zn,30.0,4.0,12.0,1.42,76.0,6e-08,80.0,1.00205,0.25,9.16,120.0,1180.0,692.68,,0.85,487.32,70.0,108.0,412.0,43.0,2.5,,7140.0,3.02e-05,9.394197,65.409,1.35,0.0,0.88,0.88,-0.62
Ga,31.0,4.0,13.0,1.36,81.0,1.4e-07,,,,11.8,29.0,2477.0,302.91,,1.083,2174.09,,,60.0,,1.5,,5904.0,0.00012,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011
Ge,32.0,4.0,14.0,1.25,84.0,0.0005,,,,13.63,60.0,3093.0,1211.4,,,1881.6,,,,,6.0,,5323.0,6e-06,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413
As,33.0,4.0,15.0,1.14,89.0,3.3e-07,,1.001552,,12.95,50.0,887.0,1090.0,1700.0,,203.0,22.0,8.0,1440.0,,3.5,,5727.0,,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482
Se,34.0,4.0,16.0,1.03,93.0,1e-08,,1.000895,0.33,16.42,0.52,958.0,494.0,1766.0,,464.0,8.3,10.0,736.0,3.7,2.0,,4819.0,,9.752392,78.96,1.15,1.84,0.6000000000000001,1.0133333333333334,2.020604712
Br,35.0,4.0,17.0,0.94,98.0,1e+18,,1.001132,,19.78,0.12,332.0,265.8,586.0,,66.2,1.9,,,,,,,,11.81381,79.904,1.15,1.82,0.57,0.8825000000000001,3.3635883
Kr,36.0,4.0,18.0,0.88,4.0,,,1.000427,,27.99,0.00943,119.93,115.79,209.4,,4.14,,,,,,,,,13.9996055,83.798,,0.0,0.0,0.0,-1.02
Rb,37.0,5.0,1.0,2.65,9.0,1.33e-07,,,,55.76,58.0,961.0,312.46,2093.0,,648.54,2.5,2.4,0.216,,0.3,,1532.0,,4.1771281,85.4678,2.35,0.0,1.66,1.66,0.48591621
Sr,38.0,5.0,2.0,2.19,15.0,1.35e-07,,,0.28,33.94,35.0,1655.0,1050.0,,,605.0,,,,6.1,1.5,,2630.0,2.25e-05,5.69486745,87.62,2.0,0.0,1.32,1.32,0.052066
Y,39.0,5.0,3.0,2.12,25.0,6e-07,,,0.24,19.88,17.0,3609.0,1799.0,,1.3,1810.0,41.0,64.0,589.0,26.0,,,4472.0,1.06e-05,6.21726,88.90585,1.8,0.0,1.04,1.04,0.30712
Zr,40.0,5.0,4.0,2.06,49.0,4.33e-07,,,0.34,14.02,23.0,4682.0,2128.0,,0.61,2554.0,,68.0,650.0,33.0,5.0,903.0,6511.0,5.7e-06,6.634126,91.224,1.55,0.0,0.86,0.86,0.433289
Nb,41.0,5.0,5.0,1.98,53.0,1.52e-07,,,0.4,10.83,54.0,5017.0,2750.0,,9.25,2267.0,170.0,105.0,736.0,38.0,6.0,1320.0,8570.0,7.3e-06,6.75885,92.90638,1.45,0.0,0.82,0.82,0.917407
Mo,42.0,5.0,6.0,1.9,56.0,5.5e-08,58.0,,0.31,9.38,139.0,4912.0,2896.0,,0.915,2016.0,230.0,329.0,1500.0,20.0,5.5,1530.0,10280.0,4.8e-06,7.09243,95.94,1.45,0.0,0.775,0.775,0.74733
Tc,43.0,5.0,7.0,1.83,59.0,2.2e-07,,,,8.63,51.0,4538.0,2430.0,,7.8,2108.0,,,,,,,11500.0,,7.11938,98.0,1.35,0.0,0.7416666666666666,0.7416666666666666,0.552
Ru,44.0,5.0,8.0,1.78,62.0,7.1e-08,,,0.3,8.17,120.0,4423.0,2607.0,,0.49,1816.0,220.0,447.0,2160.0,173.0,6.5,,12370.0,6.4e-06,7.3605,101.07,1.3,0.0,0.661,0.661,1.0463825
